layer_1,layer_2,layer_3,layer_4,layer_5
54,29,24,10,41
63,34,30,16,56
51,35,19,14,41
27,36,19,14,52
33,43,29,16,55
60,29,24,13,67
59,32,19,23,49
65,45,22,19,53
49,37,17,8,48
50,36,25,17,50
26,26,34,23,
53,28,31,10,
70,34,12,20,
52,42,15,15,
57,43,28,11,
44,32,30,13,
49,35,23,16,
78,33,24,17,
52,37,18,13,
42,45,20,17,
75,37,25,17,
66,32,28,7,
58,27,29,18,
51,34,30,9,
64,35,19,13,
36,47,20,11,
62,41,24,15,
37,28,28,18,
76,37,26,26,
97,21,19,18,
26,31,29,18,
80,35,22,17,
48,31,23,19,
52,36,20,15,
42,35,36,16,
56,36,33,18,
87,29,24,12,
73,33,25,20,
56,40,23,11,
91,38,20,7,
66,30,27,17,
66,27,25,12,
52,37,23,18,
58,37,20,20,
32,32,25,18,
70,31,25,13,
39,23,21,18,
70,35,20,16,
53,33,25,18,
66,29,24,20,
91,30,22,13,
57,39,22,19,
47,28,22,17,
44,37,16,18,
74,32,23,12,
58,40,19,11,
32,39,25,14,
85,31,26,9,
15,41,42,18,
48,35,30,17,
67,22,25,17,
84,39,20,22,
47,29,31,17,
45,30,32,19,
92,45,26,16,
50,34,22,15,
59,34,23,16,
65,33,24,9,
78,42,25,16,
34,32,36,11,
71,38,27,25,
69,29,25,24,
57,23,29,5,
44,44,22,13,
35,31,26,15,
70,36,19,13,
71,38,25,18,
39,46,23,15,
37,33,18,18,
61,30,25,20,
68,34,24,20,
61,46,23,19,
71,48,26,19,
65,35,30,10,
64,36,28,20,
55,31,23,15,
64,42,19,16,
78,41,26,24,
66,31,19,18,
64,32,24,18,
65,41,29,10,
81,33,27,20,
66,39,18,14,
50,39,16,19,
82,34,31,17,
53,32,21,14,
75,34,17,12,
57,41,24,22,
87,34,27,13,
40,41,32,13,
80,20,25,19,
85,32,23,13,
48,27,35,18,
30,49,23,14,
26,29,20,16,
65,39,27,9,
60,28,19,19,
69,32,18,7,
51,38,20,15,
66,30,17,16,
75,28,25,23,
60,47,26,23,
53,34,20,21,
62,33,22,14,
49,34,32,16,
61,28,27,15,
74,37,22,8,
62,32,24,13,
76,28,13,19,
81,36,21,13,
61,41,20,19,
78,42,31,19,
34,18,14,25,
45,37,24,12,
42,30,26,17,
54,31,24,15,
67,33,21,17,
31,43,15,8,
51,33,25,18,
67,42,17,14,
48,47,12,15,
72,29,32,14,
52,48,34,21,
56,34,27,20,
65,39,26,9,
79,27,25,12,
64,36,23,14,
49,38,22,8,
54,39,21,10,
58,28,31,14,
51,36,17,15,
68,33,27,20,
44,42,13,11,
36,33,22,18,
43,32,26,19,
44,33,25,20,
55,44,31,25,
91,36,24,8,
42,25,27,12,
70,40,26,19,
74,15,21,17,
69,36,27,22,
69,29,21,16,
82,19,19,21,
63,33,19,13,
67,24,21,17,
29,35,24,11,
47,24,22,22,
84,37,29,9,
64,45,20,19,
61,32,20,14,
60,42,32,16,
82,36,21,18,
68,33,27,12,
86,35,21,22,
57,35,22,14,
57,44,21,17,
61,33,15,12,
53,30,18,18,
67,43,18,15,
46,32,32,18,
75,22,24,19,
55,32,22,10,
51,36,20,24,
45,31,27,11,
57,21,20,11,
59,38,27,15,
58,34,31,15,
41,34,26,17,
62,38,21,13,
76,32,33,15,
63,31,29,31,
66,35,20,8,
37,46,26,20,
65,26,16,25,
54,32,23,16,
70,20,25,13,
50,33,23,18,
55,35,20,12,
34,39,28,15,
37,30,23,12,
76,37,15,6,
56,26,17,15,
48,39,26,21,
32,25,26,23,
44,25,24,13,
81,41,27,16,
50,32,23,6,
54,32,16,14,
62,45,17,16,
58,34,21,11,
61,28,17,18,
67,32,26,18,
62,35,17,18,
57,22,23,14,
59,28,17,12,
65,37,24,17,
48,39,27,18,
91,34,20,18,
57,44,30,20,
46,36,22,26,
49,39,19,13,
63,46,30,19,
42,33,30,29,
59,38,19,18,
80,38,14,16,
64,42,24,12,
16,35,23,22,
73,35,27,13,
46,30,30,17,
71,28,24,17,
66,27,21,19,
78,40,28,19,
64,31,30,18,
48,31,23,21,
47,28,23,14,
46,23,21,16,
61,25,13,16,
85,23,19,18,
42,34,22,9,
49,37,21,18,
72,35,24,16,
47,36,21,10,
76,23,26,15,
52,36,23,13,
57,26,21,16,
46,31,20,19,
51,40,25,24,
73,28,24,10,
77,39,26,11,
72,49,34,19,
59,35,23,18,
59,38,15,14,
58,38,27,14,
52,42,28,20,
83,25,27,11,
41,33,24,23,
42,32,16,14,
77,31,23,19,
75,24,31,12,
71,43,25,19,
56,31,29,10,
54,40,23,21,
93,36,24,16,
48,35,23,15,
58,35,24,17,
