layer_1,layer_2,layer_3,layer_4,layer_5
39,28,34,31,81.0
59,39,39,14,102.0
26,35,25,12,93.0
13,32,20,22,87.0
22,41,26,17,105.0
59,26,30,20,96.0
44,37,40,23,92.0
53,43,27,30,87.0
21,37,28,5,96.0
34,43,34,32,112.0
26,25,36,24,
26,30,31,19,
62,45,9,17,
29,36,25,16,
36,33,40,11,
24,33,26,10,
21,36,30,27,
65,26,29,25,
24,32,31,25,
26,34,25,20,
70,26,23,21,
55,31,28,6,
23,35,35,24,
37,30,43,19,
65,39,32,16,
38,52,22,5,
31,25,29,21,
29,31,38,16,
43,31,37,22,
63,33,30,19,
15,33,27,24,
85,35,30,17,
41,33,26,20,
37,38,32,18,
33,46,42,24,
34,30,38,18,
67,31,31,22,
48,38,32,29,
45,42,32,18,
56,40,29,20,
38,36,30,13,
39,24,27,15,
43,30,28,28,
86,37,27,22,
36,36,36,15,
64,30,23,18,
38,25,13,18,
30,40,15,21,
34,31,27,21,
69,41,26,24,
47,34,36,9,
51,35,26,27,
37,21,28,25,
45,35,24,19,
47,38,23,19,
57,34,29,19,
20,37,35,23,
64,39,28,5,
19,35,28,17,
40,27,32,23,
52,32,34,22,
71,37,25,0,
35,38,34,14,
25,36,40,22,
54,37,33,22,
44,27,36,16,
26,29,15,21,
39,41,27,4,
54,36,23,23,
33,34,22,16,
59,38,29,22,
35,32,33,33,
45,29,31,21,
53,33,20,25,
20,27,34,22,
59,40,32,21,
56,35,28,15,
30,26,27,20,
33,33,26,18,
41,22,18,17,
57,38,32,14,
45,42,24,21,
55,32,35,17,
48,32,27,22,
37,35,34,28,
52,26,24,16,
43,48,21,26,
50,48,23,29,
50,27,37,19,
39,40,37,35,
58,23,32,6,
60,37,35,14,
34,27,23,13,
45,23,22,23,
44,27,37,21,
23,40,23,14,
80,31,33,20,
29,27,28,20,
64,22,38,4,
36,35,25,18,
51,28,30,16,
71,42,25,21,
49,28,27,19,
14,39,20,9,
17,34,25,28,
51,32,21,12,
20,37,21,28,
49,38,30,18,
38,37,24,14,
72,24,26,22,
39,40,24,26,
57,36,41,23,
34,36,26,19,
57,42,38,24,
49,35,34,26,
26,27,21,26,
74,36,21,8,
40,26,34,19,
44,35,21,13,
50,30,28,19,
31,30,16,23,
65,26,35,15,
33,22,20,22,
21,29,29,12,
46,32,24,22,
42,25,21,23,
65,34,27,27,
25,29,17,25,
40,40,33,25,
46,35,18,20,
31,38,15,17,
54,33,26,28,
24,34,42,20,
33,40,20,21,
53,37,21,7,
71,27,23,23,
36,31,28,21,
37,25,23,10,
34,20,42,10,
29,26,22,9,
55,45,26,20,
27,33,21,26,
32,32,35,17,
22,36,31,18,
19,24,21,21,
27,33,32,13,
37,43,36,21,
69,38,28,5,
43,35,16,19,
54,38,34,20,
34,24,29,27,
46,32,26,23,
71,35,28,19,
68,29,23,24,
34,32,26,23,
27,33,22,30,
17,23,17,10,
36,32,26,28,
51,36,32,20,
39,29,33,31,
36,30,8,21,
34,41,31,20,
54,44,21,15,
59,30,25,11,
54,33,26,24,
27,35,27,25,
38,27,26,19,
47,27,11,21,
51,30,23,20,
44,41,23,22,
34,35,23,22,
63,39,25,20,
33,34,24,25,
24,36,24,21,
35,35,32,16,
41,24,25,21,
39,38,27,22,
43,35,23,22,
35,32,31,19,
81,36,37,24,
75,24,32,18,
34,26,35,28,
50,37,31,16,
17,41,39,15,
46,27,27,26,
56,40,21,20,
40,28,31,19,
22,49,21,27,
50,36,27,15,
37,41,33,14,
23,31,34,18,
54,33,28,7,
18,37,26,14,
43,37,24,23,
25,25,34,25,
27,32,34,17,
63,39,39,23,
43,31,22,5,
26,32,18,16,
47,47,24,33,
48,37,28,21,
48,28,31,27,
24,35,36,24,
50,27,23,22,
31,29,25,8,
42,35,28,18,
39,32,35,17,
25,28,28,21,
86,34,36,19,
45,28,43,24,
15,42,29,26,
62,37,24,7,
46,43,32,21,
23,32,30,28,
34,36,31,19,
34,41,22,21,
58,41,29,9,
41,32,31,26,
60,34,24,17,
42,29,18,28,
75,35,37,25,
48,28,22,27,
72,40,26,21,
64,39,24,22,
37,36,25,23,
34,23,28,23,
49,28,35,20,
58,27,22,17,
46,26,21,25,
31,35,31,7,
39,35,20,19,
38,39,23,15,
39,43,25,7,
67,29,32,20,
30,35,24,17,
39,22,34,22,
37,30,31,17,
37,36,24,20,
50,34,33,16,
60,31,19,25,
32,41,33,23,
38,44,24,16,
31,30,21,20,
42,39,15,14,
33,39,32,24,
74,35,29,23,
17,37,24,32,
33,23,31,19,
64,29,28,25,
67,27,30,16,
75,49,26,18,
44,33,23,25,
39,36,29,27,
66,34,29,30,
34,42,28,19,
38,30,27,19,
